learning_rate,activation,dropout,optimizer,test_loss,test_accuracy,val_loss,val_accuracy
1e-05,sigmoid,0.0,adam,0.6930661797523499,0.5016666650772095,0.6929765939712524,0.5111111402511597
1e-05,sigmoid,0.0,rmsprop,0.6930861473083496,0.5016666650772095,0.6929647922515869,0.5111111402511597
1e-05,sigmoid,0.0,nesterov,0.7034615874290466,0.4983333349227905,0.7061634063720703,0.4888888895511627
1e-05,sigmoid,0.1,adam,0.692975640296936,0.5016666650772095,0.6928820013999939,0.5111111402511597
1e-05,sigmoid,0.1,rmsprop,0.6930285096168518,0.5016666650772095,0.6928755044937134,0.5111111402511597
1e-05,sigmoid,0.1,nesterov,0.69319087266922,0.49388888478279114,0.6931703090667725,0.49444442987442017
1e-05,sigmoid,0.2,adam,0.6929596066474915,0.527222216129303,0.6929323077201843,0.527222216129303
1e-05,sigmoid,0.2,rmsprop,0.6930244565010071,0.5016666650772095,0.6929031610488892,0.5111111402511597
1e-05,sigmoid,0.2,nesterov,0.713050901889801,0.5016666650772095,0.7091379761695862,0.5111111402511597
1e-05,relu,0.0,adam,0.6819478273391724,0.528333306312561,0.6810053586959839,0.5394444465637207
1e-05,relu,0.0,rmsprop,0.6842492818832397,0.5277777910232544,0.6820209622383118,0.5311111211776733
1e-05,relu,0.0,nesterov,0.6967571973800659,0.5066666603088379,0.693741500377655,0.5355555415153503
1e-05,relu,0.1,adam,0.6872438788414001,0.527222216129303,0.6851816177368164,0.5383333563804626
1e-05,relu,0.1,rmsprop,0.6799039244651794,0.5388888716697693,0.6746070981025696,0.5472221970558167
1e-05,relu,0.1,nesterov,0.6885721683502197,0.5338888764381409,0.6888852119445801,0.5277777910232544
1e-05,relu,0.2,adam,0.6891855597496033,0.5338888764381409,0.6899400353431702,0.519444465637207
1e-05,relu,0.2,rmsprop,0.6876103281974792,0.5255555510520935,0.6848579049110413,0.5594444274902344
1e-05,relu,0.2,nesterov,0.6945531368255615,0.496111124753952,0.695674479007721,0.5049999952316284
1e-05,elu,0.0,adam,0.6795770525932312,0.5477777719497681,0.680813729763031,0.5450000166893005
1e-05,elu,0.0,rmsprop,0.6773433685302734,0.4955555498600006,0.6729257106781006,0.5161111354827881
1e-05,elu,0.0,nesterov,0.6833547353744507,0.5444444417953491,0.6827807426452637,0.5350000262260437
1e-05,elu,0.1,adam,0.6830416917800903,0.5294444561004639,0.6761875152587891,0.5422222018241882
1e-05,elu,0.1,rmsprop,0.6868858337402344,0.5299999713897705,0.6798704862594604,0.554444432258606
1e-05,elu,0.1,nesterov,0.7014837861061096,0.4811111092567444,0.7049659490585327,0.4855555593967438
1e-05,elu,0.2,adam,0.6809618473052979,0.504444420337677,0.6751320362091064,0.5144444704055786
1e-05,elu,0.2,rmsprop,0.6804402470588684,0.5244444608688354,0.6781708598136902,0.5161111354827881
1e-05,elu,0.2,nesterov,0.6808765530586243,0.5616666674613953,0.6842052936553955,0.5450000166893005
0.0001,sigmoid,0.0,adam,0.6790258288383484,0.49666666984558105,0.6772511005401611,0.5061110854148865
0.0001,sigmoid,0.0,rmsprop,0.6854186058044434,0.5133333206176758,0.6832354068756104,0.5350000262260437
0.0001,sigmoid,0.0,nesterov,0.6932263374328613,0.5016666650772095,0.6930795907974243,0.5111111402511597
0.0001,sigmoid,0.1,adam,0.6816397905349731,0.5011110901832581,0.6808127164840698,0.5122222304344177
0.0001,sigmoid,0.1,rmsprop,0.6924934387207031,0.5644444227218628,0.6923291683197021,0.5855555534362793
0.0001,sigmoid,0.1,nesterov,0.6931173205375671,0.5016666650772095,0.6929749846458435,0.5111111402511597
0.0001,sigmoid,0.2,adam,0.6882145404815674,0.49388888478279114,0.6877880692481995,0.5061110854148865
0.0001,sigmoid,0.2,rmsprop,0.6930870413780212,0.5016666650772095,0.6929543018341064,0.5111111402511597
0.0001,sigmoid,0.2,nesterov,0.6932180523872375,0.5016666650772095,0.693058431148529,0.5111111402511597
0.0001,relu,0.0,adam,0.2534236013889313,0.8983333110809326,0.2724771797657013,0.8972222208976746
0.0001,relu,0.0,rmsprop,0.537824273109436,0.7144444584846497,0.5615199208259583,0.6877777576446533
0.0001,relu,0.0,nesterov,0.6900367736816406,0.5255555510520935,0.6894595623016357,0.5255555510520935
0.0001,relu,0.1,adam,0.5222686529159546,0.7461110949516296,0.5506381988525391,0.7044444680213928
0.0001,relu,0.1,rmsprop,0.6148934364318848,0.6044444441795349,0.6255068182945251,0.5905555486679077
0.0001,relu,0.1,nesterov,0.6891588568687439,0.522777795791626,0.6885551810264587,0.528333306312561
0.0001,relu,0.2,adam,0.5345971584320068,0.7405555844306946,0.5476671457290649,0.7161111235618591
0.0001,relu,0.2,rmsprop,0.5851627588272095,0.6561111211776733,0.6009471416473389,0.6100000143051147
0.0001,relu,0.2,nesterov,0.694398820400238,0.5016666650772095,0.691723108291626,0.527222216129303
0.0001,elu,0.0,adam,0.423737108707428,0.7844444513320923,0.4474588632583618,0.7850000262260437
0.0001,elu,0.0,rmsprop,0.32262176275253296,0.8644444346427917,0.328268826007843,0.8655555844306946
0.0001,elu,0.0,nesterov,0.6781373620033264,0.496111124753952,0.6732871532440186,0.5161111354827881
0.0001,elu,0.1,adam,0.5706770420074463,0.721666693687439,0.5747263431549072,0.7111111283302307
0.0001,elu,0.1,rmsprop,0.6062721610069275,0.6683333516120911,0.6093292236328125,0.6638888716697693
0.0001,elu,0.1,nesterov,0.6834425926208496,0.527222216129303,0.6817031502723694,0.5422222018241882
0.0001,elu,0.2,adam,0.6686066389083862,0.48944443464279175,0.6646708250045776,0.5094444155693054
0.0001,elu,0.2,rmsprop,0.6738437414169312,0.49222221970558167,0.6705479621887207,0.5094444155693054
0.0001,elu,0.2,nesterov,0.6825451254844666,0.5450000166893005,0.681364119052887,0.550000011920929
0.001,sigmoid,0.0,adam,0.5771849751472473,0.6200000047683716,0.5792081952095032,0.6311110854148865
0.001,sigmoid,0.0,rmsprop,0.5955823659896851,0.6122221946716309,0.5939636826515198,0.6266666650772095
0.001,sigmoid,0.0,nesterov,0.6931764483451843,0.5016666650772095,0.6930634379386902,0.5111111402511597
0.001,sigmoid,0.1,adam,0.5812621116638184,0.6188889145851135,0.5798678994178772,0.6322222352027893
0.001,sigmoid,0.1,rmsprop,0.5726210474967957,0.6227777600288391,0.5885357856750488,0.6105555295944214
0.001,sigmoid,0.1,nesterov,0.693160355091095,0.5016666650772095,0.6930789947509766,0.5111111402511597
0.001,sigmoid,0.2,adam,0.5813066959381104,0.620555579662323,0.580771267414093,0.6316666603088379
0.001,sigmoid,0.2,rmsprop,0.5893495678901672,0.625,0.6000217199325562,0.6105555295944214
0.001,sigmoid,0.2,nesterov,0.693088173866272,0.5016666650772095,0.6929998993873596,0.5111111402511597
0.001,relu,0.0,adam,0.06791435182094574,0.9766666889190674,0.05278285965323448,0.9788888692855835
0.001,relu,0.0,rmsprop,0.05567482113838196,0.976111114025116,0.05634354427456856,0.980555534362793
0.001,relu,0.0,nesterov,0.6135908365249634,0.6388888955116272,0.6170920133590698,0.6100000143051147
0.001,relu,0.1,adam,0.056714870035648346,0.9722222089767456,0.06389185041189194,0.977222204208374
0.001,relu,0.1,rmsprop,0.04636010155081749,0.980555534362793,0.05305313691496849,0.9777777791023254
0.001,relu,0.1,nesterov,0.6821405291557312,0.5461111068725586,0.6808264255523682,0.551111102104187
0.001,relu,0.2,adam,0.05604071170091629,0.9783333539962769,0.051966167986392975,0.9766666889190674
0.001,relu,0.2,rmsprop,0.07780163735151291,0.9683333039283752,0.07471401989459991,0.9700000286102295
0.001,relu,0.2,nesterov,0.6566312909126282,0.5583333373069763,0.655319094657898,0.5677777528762817
0.001,elu,0.0,adam,0.061125338077545166,0.9733333587646484,0.040768224745988846,0.9855555295944214
0.001,elu,0.0,rmsprop,0.05385299772024155,0.9783333539962769,0.051446665078401566,0.9738888740539551
0.001,elu,0.0,nesterov,0.6770700812339783,0.48722222447395325,0.6722456216812134,0.5133333206176758
0.001,elu,0.1,adam,0.08645523339509964,0.9700000286102295,0.08237261325120926,0.9722222089767456
0.001,elu,0.1,rmsprop,0.10125363618135452,0.9561111330986023,0.09022191166877747,0.9677777886390686
0.001,elu,0.1,nesterov,0.6752360463142395,0.49666666984558105,0.6731234192848206,0.5088889002799988
0.001,elu,0.2,adam,0.0886840894818306,0.9616666436195374,0.07811328768730164,0.972777783870697
0.001,elu,0.2,rmsprop,0.1659345179796219,0.9322222471237183,0.16603298485279083,0.9383333325386047
0.001,elu,0.2,nesterov,0.6755849123001099,0.5122222304344177,0.675675094127655,0.5216666460037231
0.01,sigmoid,0.0,adam,0.07531967014074326,0.9711111187934875,0.0574873685836792,0.9738888740539551
0.01,sigmoid,0.0,rmsprop,0.2781282067298889,0.8849999904632568,0.28195881843566895,0.8788889050483704
0.01,sigmoid,0.0,nesterov,0.6929567456245422,0.504444420337677,0.6929856538772583,0.5149999856948853
0.01,sigmoid,0.1,adam,0.17718996107578278,0.9200000166893005,0.16031904518604279,0.9399999976158142
0.01,sigmoid,0.1,rmsprop,0.38289695978164673,0.8066666722297668,0.36997470259666443,0.8194444179534912
0.01,sigmoid,0.1,nesterov,0.6931422352790833,0.4983333349227905,0.6931900382041931,0.4888888895511627
0.01,sigmoid,0.2,adam,0.569303035736084,0.6244444251060486,0.5830481052398682,0.6094444394111633
0.01,sigmoid,0.2,rmsprop,0.3160803020000458,0.8650000095367432,0.2936722934246063,0.8844444155693054
0.01,sigmoid,0.2,nesterov,0.693200409412384,0.4983333349227905,0.6933337450027466,0.4888888895511627
0.01,relu,0.0,adam,0.0714588612318039,0.9738888740539551,0.060135841369628906,0.976111114025116
0.01,relu,0.0,rmsprop,0.0939975157380104,0.9622222185134888,0.06769430637359619,0.972777783870697
0.01,relu,0.0,nesterov,0.06755349040031433,0.9700000286102295,0.04935541749000549,0.9755555391311646
0.01,relu,0.1,adam,0.07123306393623352,0.972777783870697,0.05533689633011818,0.9788888692855835
0.01,relu,0.1,rmsprop,0.0686381459236145,0.9711111187934875,0.04985561966896057,0.9794444441795349
0.01,relu,0.1,nesterov,0.07335542142391205,0.9700000286102295,0.05762297660112381,0.9788888692855835
0.01,relu,0.2,adam,0.08432351052761078,0.9616666436195374,0.06683879345655441,0.9705555438995361
0.01,relu,0.2,rmsprop,0.09506863355636597,0.9561111330986023,0.09740947186946869,0.9638888835906982
0.01,relu,0.2,nesterov,0.08155742287635803,0.9666666388511658,0.08577236533164978,0.9700000286102295
0.01,elu,0.0,adam,0.08022264391183853,0.9711111187934875,0.053707726299762726,0.9783333539962769
0.01,elu,0.0,rmsprop,0.08281087130308151,0.9661111235618591,0.08016834408044815,0.9672222137451172
0.01,elu,0.0,nesterov,0.05251142010092735,0.9766666889190674,0.042422764003276825,0.9827777743339539
0.01,elu,0.1,adam,0.0880700945854187,0.9677777886390686,0.06871422380208969,0.9700000286102295
0.01,elu,0.1,rmsprop,0.07947642356157303,0.9683333039283752,0.11136947572231293,0.9594444632530212
0.01,elu,0.1,nesterov,0.07082336395978928,0.9694444537162781,0.060554224997758865,0.9738888740539551
0.01,elu,0.2,adam,0.06668996065855026,0.9711111187934875,0.06349608302116394,0.9755555391311646
0.01,elu,0.2,rmsprop,0.0736544132232666,0.9666666388511658,0.05750817432999611,0.9755555391311646
0.01,elu,0.2,nesterov,0.10159023106098175,0.9527778029441833,0.08844111859798431,0.9638888835906982
0.1,sigmoid,0.0,adam,0.1546603888273239,0.9350000023841858,0.1323534995317459,0.945555567741394
0.1,sigmoid,0.0,rmsprop,0.599895179271698,0.6244444251060486,0.6069360375404358,0.6094444394111633
0.1,sigmoid,0.0,nesterov,0.6722068190574646,0.5049999952316284,0.6701149940490723,0.5144444704055786
0.1,sigmoid,0.1,adam,0.12332995235919952,0.945555567741394,0.12852609157562256,0.9355555772781372
0.1,sigmoid,0.1,rmsprop,0.6064164042472839,0.6166666746139526,0.6046529412269592,0.625
0.1,sigmoid,0.1,nesterov,0.6932477951049805,0.4983333349227905,0.693632960319519,0.4888888895511627
0.1,sigmoid,0.2,adam,0.6096748113632202,0.6122221946716309,0.6192930340766907,0.5950000286102295
0.1,sigmoid,0.2,rmsprop,0.6009607315063477,0.6222222447395325,0.6057031750679016,0.6100000143051147
