Amplitude_A,SNR,Best_Val_Accuracy
0,0.0,0.9645000100135803
50,1.0,0.9449999928474426
100,2.0,0.9710000157356262
150,3.0,0.9769999980926514
200,4.0,0.9754999876022339
250,5.0,0.9794999957084656
300,6.0,0.9764999747276306
400,8.0,0.9769999980926514
500,10.0,0.9729999899864197
700,14.0,0.9764999747276306
1000,20.0,0.9595000147819519
