# Experiment: L2 Regularization Parameter Sweep
# Batch Size: 200
# Epochs: 150
# -------------------------------------------

# Results with lambda equal to 1e-05

accuracy,loss,val_accuracy,val_loss
0.3633750081062317,1.0899076461791992,0.3804999887943268,1.0729893445968628
0.4480000138282776,1.038413405418396,0.48399999737739563,0.9976950883865356
0.5807499885559082,0.9487094283103943,0.6340000033378601,0.8961246609687805
0.6855000257492065,0.8463751077651978,0.7565000057220459,0.7804203629493713
0.7593749761581421,0.7353299856185913,0.8125,0.6581515669822693
0.7975000143051147,0.6351670026779175,0.8460000157356262,0.5552566051483154
0.8331249952316284,0.5428672432899475,0.871999979019165,0.4673604965209961
0.8554999828338623,0.47522372007369995,0.8945000171661377,0.39770248532295227
0.8715000152587891,0.4157193601131439,0.9135000109672546,0.3388827443122864
0.8841249942779541,0.365631103515625,0.9210000038146973,0.29333963990211487
0.8996250033378601,0.32372063398361206,0.9294999837875366,0.2561211884021759
0.9157500267028809,0.288188099861145,0.9369999766349792,0.22804602980613708
0.9172499775886536,0.2642056941986084,0.9424999952316284,0.20355534553527832
0.9267500042915344,0.23908951878547668,0.9484999775886536,0.18607595562934875
0.9294999837875366,0.22635556757450104,0.9514999985694885,0.17045192420482635
0.9355000257492065,0.20778030157089233,0.9555000066757202,0.15732724964618683
0.9409999847412109,0.18998941779136658,0.9574999809265137,0.14600028097629547
0.9447500109672546,0.17848339676856995,0.9564999938011169,0.1374991089105606
0.9465000033378601,0.17225691676139832,0.9589999914169312,0.1302923560142517
0.9522500038146973,0.16288615763187408,0.9610000252723694,0.12283219397068024
0.9539999961853027,0.15326784551143646,0.9605000019073486,0.11693914979696274
0.9546250104904175,0.14454181492328644,0.9624999761581421,0.11140229552984238
0.9603750109672546,0.13793346285820007,0.9639999866485596,0.10665073245763779
0.9617499709129333,0.1334264576435089,0.965499997138977,0.101861871778965
0.9603750109672546,0.12887319922447205,0.965499997138977,0.09812242537736893
0.9629999995231628,0.12220132350921631,0.9664999842643738,0.09663064777851105
0.9645000100135803,0.11961324512958527,0.9660000205039978,0.0921468436717987
